contestant_name,age,num_season,finish,gender,poc
Tarzan Smith,64,24,6,M,0
Alicia Rosa,25,24,5,F,1
Christina Cha,29,24,4,F,1
Chelsea Meissner,26,24,3,F,0
Sabrina Thompson,33,24,2,F,1
Kim Spradlin-Wolfe,29,24,1,F,0
Zane Knight,28,25,18,M,0
Roxy Morris,28,25,17,F,1
Angie Layton,20,25,16,F,0
Russell Swan,45,25,15,M,1
Dana Lambert,32,25,14,F,0
Sarah Dawson,28,25,13,F,1
Katie Hanson,22,25,12,F,0
R.C. Saint-Amour,27,25,11,F,0
Jeff Kent,44,25,10,M,0
Artis Silvester,53,25,9,M,1
Pete Yurkowski,24,25,8,M,0
Jonathan Penner,50,25,7,M,0
Carter Williams,24,25,6,M,0
Abi-Maria Gomes,32,25,5,F,1
Malcolm Freberg,25,25,4,M,0
Lisa Whelchel,49,25,2,F,0
Michael Skupin,50,25,2,M,0
Denise Stapley,41,25,1,F,0
Francesca Hogi,38,26,20,F,1
Allie Pohevitz,25,26,19,F,0
Hope Driskill,23,26,18,F,0
Shamar Thomas,27,26,17,M,1
Laura Alexander,23,26,16,F,0
Brandon Hantz,21,26,15,M,0
Matt Bischoff,38,26,14,M,0
Julia Landauer,21,26,13,F,0
Corinne Kaplan,33,26,12,F,0
Michael Snow,44,26,11,M,0
Phillip Sheppard,54,26,10,M,1
Malcolm Freberg,26,26,9,M,0
Reynold Toepfer,30,26,8,M,0
Andrea Boehlke,23,26,7,F,0
Brenda Lowe,30,26,6,F,1
Erik Reichenbach,27,26,5,M,0
Eddie Fox,23,26,4,M,0
Sherri Biethman,41,26,2,F,0
Dawn Meehan,42,26,2,F,0
John Cochran,25,26,1,M,0
Rupert Boneham,49,27,20,M,0
Colton Cumbie,22,27,19,M,0
Rachel Foulger,33,27,18,F,0
Marissa Peterson,21,27,17,F,1
Candice Cody,30,27,16,F,0
Brad Culpepper,44,27,15,M,0
Kat Edorsson,23,27,14,F,0
John Cody,30,27,13,M,0
Laura Boneham,44,27,12,F,0
Aras Baskauskas,31,27,11,M,0
Vytas Baskauskas,33,27,10,M,0
Caleb Bankston,26,27,9,M,0
Katie Collins,25,27,8,F,0
Hayden Moss,27,27,7,M,0
Laura Morett,43,27,6,F,0
Ciera Eastin,24,27,5,F,0
Tina Wesson,52,27,4,F,0
Gervase Peterson,43,27,3,M,1
Monica Culpepper,42,27,2,F,0
Tyson Apostol,34,27,1,M,0
